,_id,stock_identity,trade_date,amount,change,close,high,low,open,pct_chg,pre_close,ts_code,vol
5846,5e92c5c8d1add8fec462ce17,000001.SSE,2014-11-13,258311915.771,-8.87,2485.606,2507.743,2471.407,2494.998,-0.3556,2494.476,000001.SH,295037058.0
5847,5e92c5c8d1add8fec462ce16,000001.SSE,2014-11-14,191924993.741,-6.782,2478.824,2481.025,2457.045,2477.966,-0.2729,2485.606,000001.SH,220607619.0
5848,5e92c5c8d1add8fec462ce15,000001.SSE,2014-11-17,199264903.886,-4.815,2474.009,2508.767,2472.446,2506.864,-0.1942,2478.824,000001.SH,215687800.0
5849,5e92c5c8d1add8fec462ce14,000001.SSE,2014-11-18,174659491.329,-17.643,2456.366,2477.052,2449.813,2474.182,-0.7131,2474.009,000001.SH,201062570.0
5850,5e92c5c8d1add8fec462ce13,000001.SSE,2014-11-19,167069370.56,-5.38,2450.986,2461.491,2442.71,2452.15,-0.219,2456.366,000001.SH,186235771.0
5851,5e92c5c8d1add8fec462ce12,000001.SSE,2014-11-20,150799911.527,1.674,2452.66,2458.319,2437.476,2443.276,0.0683,2450.986,000001.SH,165495213.0
5852,5e92c5c8d1add8fec462ce11,000001.SSE,2014-11-21,197809793.269,34.131,2486.791,2488.201,2446.646,2452.635,1.3916,2452.66,000001.SH,212239774.0
5853,5e92c5c8d1add8fec462ce10,000001.SSE,2014-11-24,330291406.342,46.088,2532.879,2546.746,2495.521,2505.532,1.8533,2486.791,000001.SH,363485835.0
5854,5e92c5c8d1add8fec462ce0f,000001.SSE,2014-11-25,282168802.821,34.718,2567.597,2568.381,2527.077,2531.998,1.3707,2532.879,000001.SH,314315572.0
5855,5e92c5c8d1add8fec462ce0e,000001.SSE,2014-11-26,316521256.72,36.748,2604.345,2605.07,2570.404,2572.649,1.4312,2567.597,000001.SH,337127249.0
5856,5e92c5c8d1add8fec462ce0d,000001.SSE,2014-11-27,338960830.485,26.141,2630.486,2631.399,2599.108,2615.367,1.0037,2604.345,000001.SH,364075719.0
5857,5e92c5c8d1add8fec462ce0c,000001.SSE,2014-11-28,401951167.919,52.349,2682.835,2683.18,2622.061,2629.626,1.9901,2630.486,000001.SH,465880035.0
5858,5e92c5c8d1add8fec462ce0b,000001.SSE,2014-12-01,401120189.405,-2.68,2680.155,2720.743,2668.841,2691.725,-0.0999,2682.835,000001.SH,446791741.0
5859,5e92c5c8d1add8fec462ce0a,000001.SSE,2014-12-02,397238914.606,83.39,2763.545,2777.372,2665.686,2667.82,3.1114,2680.155,000001.SH,437733381.0
5860,5e92c5c8d1add8fec462ce09,000001.SSE,2014-12-03,529777452.652,15.98,2779.525,2824.179,2733.868,2768.678,0.5782,2763.545,000001.SH,562120281.0
5861,5e92c5c8d1add8fec462ce08,000001.SSE,2014-12-04,509218572.463,119.931,2899.456,2900.508,2772.432,2783.469,4.3148,2779.525,000001.SH,532687718.0
5862,5e92c5c8d1add8fec462ce07,000001.SSE,2014-12-05,639191009.221,38.191,2937.647,2978.029,2813.052,2926.573,1.3172,2899.456,000001.SH,640500296.0
5863,5e92c5c8d1add8fec462ce06,000001.SSE,2014-12-08,593478048.925,82.611,3020.258,3041.657,2879.847,2907.815,2.8121,2937.647,000001.SH,587570890.0
5864,5e92c5c8d1add8fec462ce05,000001.SSE,2014-12-09,793361276.853,-163.989,2856.269,3091.324,2834.592,2992.49,-5.4296,3020.258,000001.SH,771998379.0
5865,5e92c5c8d1add8fec462ce04,000001.SSE,2014-12-10,534989954.982,83.737,2940.006,2946.707,2807.678,2855.94,2.9317,2856.269,000001.SH,512886913.0
5866,5e92c5c8d1add8fec462ce03,000001.SSE,2014-12-11,479801444.631,-14.263,2925.743,2965.675,2892.611,2912.346,-0.4851,2940.006,000001.SH,482632733.0
5867,5e92c5c8d1add8fec462ce02,000001.SSE,2014-12-12,420410249.999,12.43,2938.173,2962.51,2914.956,2929.36,0.4248,2925.743,000001.SH,409480811.0
5868,5e92c5c8d1add8fec462ce01,000001.SSE,2014-12-15,411487142.093,15.248,2953.421,2960.227,2890.904,2921.446,0.519,2938.173,000001.SH,400371695.0
