,stock_identity,name,enquiry_date,enquiry_topic,enquiry_title,exchange
63,600717.SSE,天津港,定期报告事后审核意见函,2020-04-14 17:10:04,关于天津港股份有限公司的定期报告的信息披露监管问询函,SSE
64,600011.SSE,华能国际,定期报告事后审核意见函,2020-04-14 17:10:04,关于华能国际电力股份有限公司的定期报告事后审核意见函,SSE
65,603016.SSE,新宏泰,定期报告事后审核意见函,2020-04-13 18:20:01,关于无锡新宏泰电器科技股份有限公司的定期报告事后审核意见函,SSE
66,600227.SSE,圣济堂,重大资产重组预案审核意见函,2020-04-13 17:40:03,关于贵州圣济堂医药产业股份有限公司的重大资产重组预案审核意见函,SSE
67,603477.SSE,振静股份,定期报告事后审核意见函,2020-04-13 17:40:02,关于对四川振静股份有限公司2019年年度报告的信息披露监管问询函,SSE
68,600313.SSE,农发种业,定期报告事后审核意见函,2020-04-13 17:10:23,关于对中农发种业集团股份有限公司的2019年年报事后审核意见函,SSE
69,600152.SSE,维科技术,问询函,2020-04-10 20:10:01,关于维科技术股份有限公司的问询函,SSE
70,600828.SSE,茂业商业,定期报告事后审核意见函,2020-04-10 18:30:01,关于茂业商业股份有限公司的定期报告事后审核意见函,SSE
71,603520.SSE,司太立,定期报告事后审核意见函,2020-04-10 17:30:01,关于浙江司太立制药股份有限公司的定期报告事后审核意见函,SSE
72,600145.SSE,*ST新亿,问询函,2020-04-09 18:10:01,关于新疆亿路万源实业投资控股股份有限公司的问询函,SSE
73,600252.SSE,中恒集团,定期报告事后审核意见函,2020-04-09 17:40:01,关于广西梧州中恒集团股份有限公司的定期报告事后审核意见函,SSE
74,600805.SSE,悦达投资,定期报告事后审核意见函,2020-04-09 17:30:01,关于江苏悦达投资股份有限公司的定期报告事后审核意见函,SSE
75,601020.SSE,华钰矿业,问询函,2020-04-08 19:30:01,关于西藏华钰矿业股份有限公司股权投资协议相关事项的问询函,SSE
76,601015.SSE,陕西黑猫,定期报告事后审核意见函,2020-04-08 18:30:01,关于陕西黑猫焦化股份有限公司2019年年度报告的信息披露监管问询函,SSE
